round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
656,0,2.0,51.6,324.67,0,0,1,19,0
657,7,2.03,733.0,327.47,2,1,0,29,1
658,0,2.02,9.7,326.71,0,0,1,17,0
659,0,2.02,126.5,325.41,0,0,0,20,0
660,5,2.04,142.6,325.53,0,1,0,19,0
661,0,2.03,113.9,324.68,0,0,1,25,0
662,2,2.03,615.2,325.14,2,0,0,26,1
663,0,2.02,157.6,323.81,0,0,1,25,0
664,1,2.02,296.7,325.57,1,0,0,27,0
665,1,2.02,556.3,327.34,1,0,0,41,1
666,2,2.02,464.2,329.18,2,0,0,37,0
667,2,2.0,551.7,330.05,2,0,0,30,1
668,0,2.0,69.2,329.23,0,0,0,12,0
669,0,2.0,31.9,327.57,0,0,1,15,0
670,2,2.0,138.5,326.73,2,0,1,24,0
671,3,2.01,603.9,328.71,3,0,0,36,0
672,1,2.01,239.0,326.86,1,0,0,21,0
673,1,2.0,540.6,326.81,1,0,0,35,1
674,7,2.04,594.9,327.3,2,1,0,28,1
675,2,2.04,352.8,329.02,2,0,0,28,0
676,1,2.04,505.2,328.18,1,0,0,24,1
677,6,2.04,375.9,328.09,1,1,0,31,0
678,4,2.04,655.5,330.62,4,0,0,45,1
679,0,2.04,21.7,329.48,0,0,1,15,0
680,1,2.04,271.3,330.05,1,0,0,27,0
681,1,2.0,421.1,329.26,1,0,0,28,1
682,0,2.0,385.3,329.26,0,0,0,33,1
683,8,2.04,644.3,332.67,3,1,0,32,1
684,3,2.04,254.7,333.24,3,0,1,27,0
685,0,2.04,140.4,332.57,0,0,1,26,0
686,1,2.04,186.8,331.65,1,0,0,21,0
687,1,2.02,273.5,331.97,1,0,0,29,0
688,3,2.04,553.0,333.85,3,1,1,41,0
689,0,2.03,146.7,332.79,0,0,1,22,0
690,1,2.03,519.9,334.11,1,0,0,32,1
691,1,2.03,179.4,332.12,1,0,0,19,0
692,1,2.03,405.5,331.64,1,0,0,31,0
693,3,2.04,313.1,330.03,3,0,0,25,0
694,2,2.04,472.6,331.01,2,0,0,27,1
695,1,2.0,297.7,330.31,1,0,0,23,0
696,0,2.0,41.9,327.46,0,0,1,15,0
697,5,2.0,158.1,325.29,0,1,0,14,0
698,0,2.0,560.9,326.16,0,0,0,29,1
699,2,1.99,514.3,325.31,2,0,0,44,0
700,0,1.99,524.6,327.9,0,0,0,27,1
701,6,2.01,433.2,329.17,1,1,1,25,0
702,1,2.01,551.0,330.89,1,0,0,27,1
703,2,2.01,475.3,332.59,2,0,0,26,1
704,0,2.0,275.3,331.21,0,0,1,32,0
705,1,2.0,438.7,333.05,1,0,0,26,1
706,1,2.0,142.9,333.35,1,0,0,19,0
707,6,2.02,238.2,333.3,1,1,0,19,0
708,2,2.03,106.5,333.5,2,0,1,26,0
709,1,2.04,202.9,334.42,1,0,1,28,0
710,1,2.02,390.2,334.22,1,0,0,33,0
711,2,2.02,494.6,335.23,2,0,0,26,0
712,3,2.04,420.3,335.38,3,0,1,32,0
713,1,2.03,513.3,337.03,1,0,0,36,1
714,2,2.03,242.6,336.54,2,0,1,31,0
715,2,2.01,363.3,336.9,2,0,0,31,0
716,0,2.01,308.9,336.56,0,0,0,27,0
717,2,2.02,173.9,334.81,2,0,0,19,0
718,0,2.02,492.6,337.54,0,0,0,35,1
719,1,2.02,224.9,336.78,1,0,1,25,0
720,0,2.01,277.3,337.23,0,0,0,22,0
721,3,2.0,709.9,337.92,3,0,0,36,1
722,2,2.0,479.7,338.2,2,0,0,28,1
723,2,2.0,215.3,338.37,2,0,1,21,0
724,1,2.0,307.6,338.05,1,1,1,31,0
725,0,1.99,267.9,337.0,0,0,1,29,0
726,5,2.01,648.2,340.5,0,1,0,35,1
727,3,2.02,542.4,342.83,3,0,0,35,0
728,1,2.02,526.9,343.92,1,0,0,21,1
729,7,2.04,559.1,345.14,2,1,0,30,1
730,1,2.04,212.1,345.62,1,0,1,27,0
731,3,2.05,661.2,347.01,3,0,0,34,1
732,1,2.05,158.9,345.87,1,0,0,18,0
733,1,2.06,238.6,344.91,1,0,0,23,0
734,2,2.05,340.9,343.47,2,0,0,27,0
735,3,2.05,531.2,345.25,3,0,0,32,0
736,0,2.05,65.2,343.65,0,0,1,16,0
737,1,2.04,255.4,343.74,1,0,0,26,0
